Designator,Mid X,Mid Y,Rotation,Layer
D1,197.06,-55.5,0.0,top
D10,126.73,-71.25,0.0,top
D13,140.745,-68.25,0.0,top
D14,155.245,-55.75,0.0,top
D15,155.48,-63.75,0.0,top
D16,206.31,-63.75,0.0,top
D19,147.245,-79.75,0.0,top
D2,194.81,-63.5,0.0,top
D20,140.745,-79.75,0.0,top
D21,155.495,-71.75,0.0,top
D22,155.495,-79.75,0.0,top
D25,194.56,-71.75,0.0,top
D28,126.745,-79.5,0.0,top
D29,204.085,-80.0,0.0,top
D3,203.52,-55.5,0.0,top
D30,161.995,-79.75,0.0,top
D31,197.56,-80.0,0.0,top
D33,189.495,-80.0,0.0,top
D34,113.245,-55.5,0.0,top
D35,113.245,-63.5,0.0,top
D36,113.245,-71.5,0.0,top
D37,113.205,-79.5,0.0,top
D4,119.98,-67.5,0.0,top
D40,168.495,-79.75,0.0,top
D41,206.545,-72.0,0.0,top
D46,147.245,-56.0,0.0,top
D49,134.245,-71.75,0.0,top
D51,176.02,-56.03,0.0,top
D52,176.02,-64.0,0.0,top
D54,176.02,-72.0,0.0,top
D55,176.06,-79.97,0.0,top
D56,182.98,-80.0,0.0,top
D58,134.245,-64.0,0.0,top
D59,134.245,-56.06,0.0,top
D68,134.245,-79.75,0.0,top
D69,114.02,-98.53,0.0,top
D7,140.745,-56.0,0.0,top
D70,114.02,-106.0,0.0,top
D71,114.02,-113.47,0.0,top
D72,114.02,-120.94,0.0,top
D75,120.48,-110.0,0.0,top
D76,153.745,-99.25,0.0,top
D77,140.745,-121.75,0.0,top
D79,140.735,-99.235,0.0,top
D8,126.745,-55.5,0.0,top
D80,147.27,-99.28,0.0,top
D81,147.27,-106.75,0.0,top
D82,147.27,-114.22,0.0,top
D83,147.27,-121.69,0.0,top
D86,153.745,-121.75,0.0,top
D9,126.745,-63.25,0.0,top
D90,127.245,-99.03,0.0,top
D91,127.245,-106.5,0.0,top
D92,127.245,-113.97,0.0,top
D93,127.245,-121.44,0.0,top
J1,207.71,-145.555,180.0,top
Q1,184.7,-122.0,0.0,top
Q2,192.0,-132.0,0.0,top
R1,171.71,-132.8,270.0,top
R2,184.71,-132.8,270.0,top
R3,177.71,-125.55,90.0,top
R4,193.21,-136.55,180.0,top
R5,195.71,-121.55,0.0,top
R6,203.71,-131.55,180.0,top
SW1,174.71,-144.55,180.0,top
SW2,193.71,-144.55,0.0,top
